"country","city","Customer","email","Start Date"
"Brazil","Sorocaba","GEORGE LINTON","GEORGE.LINTON@sakilacustomer.org","02/14/2006"
"Brazil","Boa Vista","HAROLD MARTINO","HAROLD.MARTINO@sakilacustomer.org","02/14/2006"
"Brazil","Águas Lindas de Goiás","CHARLOTTE HUNTER","CHARLOTTE.HUNTER@sakilacustomer.org","02/14/2006"
"Brazil","Blumenau","TERRI VASQUEZ","TERRI.VASQUEZ@sakilacustomer.org","02/14/2006"
"Brazil","Poá","ELLEN SIMPSON","ELLEN.SIMPSON@sakilacustomer.org","02/14/2006"
"Brazil","Anápolis","TAMARA NGUYEN","TAMARA.NGUYEN@sakilacustomer.org","02/14/2006"
"Brazil","Santo André","JUSTIN NGO","JUSTIN.NGO@sakilacustomer.org","02/14/2006"
"Brazil","Vitória de Santo Antão","JEREMY HURTADO","JEREMY.HURTADO@sakilacustomer.org","02/14/2006"
"Brunei","Bandar Seri Begawan","LOIS BUTLER","LOIS.BUTLER@sakilacustomer.org","02/14/2006"
"Bulgaria","Ruse","TYRONE ASHER","TYRONE.ASHER@sakilacustomer.org","02/14/2006"
"Bulgaria","Stara Zagora","JESSIE BANKS","JESSIE.BANKS@sakilacustomer.org","02/14/2006"
"Cambodia","Phnom Penh","ALLISON STANLEY","ALLISON.STANLEY@sakilacustomer.org","02/14/2006"
"Cambodia","Battambang","ELMER NOE","ELMER.NOE@sakilacustomer.org","02/14/2006"
"Cameroon","Yaoundé","LAWRENCE LAWTON","LAWRENCE.LAWTON@sakilacustomer.org","02/14/2006"
"Cameroon","Bamenda","ALBERT CROUSE","ALBERT.CROUSE@sakilacustomer.org","02/14/2006"
"Canada","Halifax","DARRELL POWER","DARRELL.POWER@sakilacustomer.org","02/14/2006"
"Canada","Richmond Hill","CURTIS IRBY","CURTIS.IRBY@sakilacustomer.org","02/14/2006"
"Canada","Gatineau","DERRICK BOURQUE","DERRICK.BOURQUE@sakilacustomer.org","02/14/2006"
"Canada","Oshawa","LORETTA CARPENTER","LORETTA.CARPENTER@sakilacustomer.org","02/14/2006"
"Canada","Vancouver","TROY QUIGLEY","TROY.QUIGLEY@sakilacustomer.org","02/14/2006"
"Chad","NDjamna","JAVIER ELROD","JAVIER.ELROD@sakilacustomer.org","02/14/2006"
"Chile","Coquimbo","ANDRE RAPP","ANDRE.RAPP@sakilacustomer.org","02/14/2006"
"Chile","Antofagasta","JANET PHILLIPS","JANET.PHILLIPS@sakilacustomer.org","02/14/2006"
"Chile","Rancagua","JEROME KENYON","JEROME.KENYON@sakilacustomer.org","02/14/2006"
"China","Yinchuan","ROBERTO VU","ROBERTO.VU@sakilacustomer.org","02/14/2006"
"China","Weifang","MARION OCAMPO","MARION.OCAMPO@sakilacustomer.org","02/14/2006"
"China","Zaoyang","FRANKLIN TROUTMAN","FRANKLIN.TROUTMAN@sakilacustomer.org","02/14/2006"
"China","Suihua","CHESTER BENNER","CHESTER.BENNER@sakilacustomer.org","02/14/2006"
"China","Rizhao","TYLER WREN","TYLER.WREN@sakilacustomer.org","02/14/2006"
"China","Baiyin","CHARLIE BESS","CHARLIE.BESS@sakilacustomer.org","02/14/2006"
"China","Leshan","DAVE GARDINER","DAVE.GARDINER@sakilacustomer.org","02/14/2006"
"China","Xintai","BOB PFEIFFER","BOB.PFEIFFER@sakilacustomer.org","02/14/2006"
"China","Yuncheng","MICHELE GRANT","MICHELE.GRANT@sakilacustomer.org","02/14/2006"
"China","Yuzhou","GARY COY","GARY.COY@sakilacustomer.org","02/14/2006"
"China","Shaoguan","CLYDE TOBIAS","CLYDE.TOBIAS@sakilacustomer.org","02/14/2006"
"China","Emeishan","ALAN KAHN","ALAN.KAHN@sakilacustomer.org","02/14/2006"
"China","Haining","HUGH WALDROP","HUGH.WALDROP@sakilacustomer.org","02/14/2006"
"China","Meixian","RUBY WASHINGTON","RUBY.WASHINGTON@sakilacustomer.org","02/14/2006"
"China","Changzhou","SUE PETERS","SUE.PETERS@sakilacustomer.org","02/14/2006"
"China","Dongying","LEO EBERT","LEO.EBERT@sakilacustomer.org","02/14/2006"
"China","Zhoushan","GUY BROWNLEE","GUY.BROWNLEE@sakilacustomer.org","02/14/2006"
"China","Sanya","KELLY KNOTT","KELLY.KNOTT@sakilacustomer.org","02/14/2006"
"China","Fuyu","STACEY MONTGOMERY","STACEY.MONTGOMERY@sakilacustomer.org","02/14/2006"
"China","Zalantun","PHYLLIS FOSTER","PHYLLIS.FOSTER@sakilacustomer.org","02/14/2006"
"China","Qinhuangdao","GLENDA FRAZIER","GLENDA.FRAZIER@sakilacustomer.org","02/14/2006"
"China","Tieli","AUSTIN CINTRON","AUSTIN.CINTRON@sakilacustomer.org","02/14/2006"
"China","Tianjin","DORA MEDINA","DORA.MEDINA@sakilacustomer.org","02/14/2006"
"China","Baicheng","TED BREAUX","TED.BREAUX@sakilacustomer.org","02/14/2006"
"China","Laiwu","MEGAN PALMER","MEGAN.PALMER@sakilacustomer.org","02/14/2006"
"China","Hami","LORRAINE STEPHENS","LORRAINE.STEPHENS@sakilacustomer.org","02/14/2006"
"China","Huai´an","ERNEST STEPP","ERNEST.STEPP@sakilacustomer.org","02/14/2006"
"China","Binzhou","JESSIE MILAM","JESSIE.MILAM@sakilacustomer.org","02/14/2006"
"China","Ezhou","DONALD MAHON","DONALD.MAHON@sakilacustomer.org","02/14/2006"
"China","Fuzhou","LEONA OBRIEN","LEONA.OBRIEN@sakilacustomer.org","02/14/2006"
"China","Shenzhen","EUGENE CULPEPPER","EUGENE.CULPEPPER@sakilacustomer.org","02/14/2006"
"China","Jinchang","REGINA BERRY","REGINA.BERRY@sakilacustomer.org","02/14/2006"
"China","Laohekou","MELVIN ELLINGTON","MELVIN.ELLINGTON@sakilacustomer.org","02/14/2006"
"China","Nanyang","PAMELA BAKER","PAMELA.BAKER@sakilacustomer.org","02/14/2006"
"China","Datong","CHRISTY VARGAS","CHRISTY.VARGAS@sakilacustomer.org","02/14/2006"
"China","Enshi","TIFFANY JORDAN","TIFFANY.JORDAN@sakilacustomer.org","02/14/2006"
"China","Yantai","KAY CALDWELL","KAY.CALDWELL@sakilacustomer.org","02/14/2006"
"China","Korla","FELICIA SUTTON","FELICIA.SUTTON@sakilacustomer.org","02/14/2006"
"China","Yingkou","ROLAND SOUTH","ROLAND.SOUTH@sakilacustomer.org","02/14/2006"
"China","Lengshuijiang","MARGIE WADE","MARGIE.WADE@sakilacustomer.org","02/14/2006"
"China","Shanwei","KYLE SPURLOCK","KYLE.SPURLOCK@sakilacustomer.org","02/14/2006"
"China","Xi´angtan","KELLY TORRES","KELLY.TORRES@sakilacustomer.org","02/14/2006"
"China","Hohhot","HAZEL WARREN","HAZEL.WARREN@sakilacustomer.org","02/14/2006"
"China","Tiefa","MICHAEL SILVERMAN","MICHAEL.SILVERMAN@sakilacustomer.org","02/14/2006"
"China","Liaocheng","CARRIE PORTER","CARRIE.PORTER@sakilacustomer.org","02/14/2006"
"China","Junan","RICKY SHELBY","RICKY.SHELBY@sakilacustomer.org","02/14/2006"
"China","Xinxiang","WALTER PERRYMAN","WALTER.PERRYMAN@sakilacustomer.org","02/14/2006"
"China","Jinzhou","TERRENCE GUNDERSON","TERRENCE.GUNDERSON@sakilacustomer.org","02/14/2006"
"China","Jining","EDUARDO HIATT","EDUARDO.HIATT@sakilacustomer.org","02/14/2006"
"China","Tongliao","LEROY BUSTAMANTE","LEROY.BUSTAMANTE@sakilacustomer.org","02/14/2006"
"Colombia","Pereira","STACY CUNNINGHAM","STACY.CUNNINGHAM@sakilacustomer.org","02/14/2006"
"Colombia","Buenaventura","JACKIE LYNCH","JACKIE.LYNCH@sakilacustomer.org","02/14/2006"
"Colombia","Sincelejo","WANDA PATTERSON","WANDA.PATTERSON@sakilacustomer.org","02/14/2006"
"Colombia","Sogamoso","SAM MCDUFFIE","SAM.MCDUFFIE@sakilacustomer.org","02/14/2006"
"Colombia","Dos Quebradas","SYLVIA ORTIZ","SYLVIA.ORTIZ@sakilacustomer.org","02/14/2006"
"Colombia","Florencia","LEON BOSTIC","LEON.BOSTIC@sakilacustomer.org","02/14/2006"
"Congo, The Democratic Republic of the","Mwene-Ditu","AARON SELBY","AARON.SELBY@sakilacustomer.org","02/14/2006"
"Congo, The Democratic Republic of the","Lubumbashi","JESSE SCHILLING","JESSE.SCHILLING@sakilacustomer.org","02/14/2006"
"Czech Republic","Olomouc","JENNIE TERRY","JENNIE.TERRY@sakilacustomer.org","02/14/2006"
"Dominican Republic","San Felipe de Puerto Plata","JEFF EAST","JEFF.EAST@sakilacustomer.org","02/14/2006"
"Dominican Republic","Santiago de los Caballeros","MYRTLE FLEMING","MYRTLE.FLEMING@sakilacustomer.org","02/14/2006"
"Dominican Republic","La Romana","RANDALL NEUMANN","RANDALL.NEUMANN@sakilacustomer.org","02/14/2006"
"Ecuador","Ríobamba","RAMON CHOATE","RAMON.CHOATE@sakilacustomer.org","02/14/2006"
"Ecuador","Loja","TRACY HERRMANN","TRACY.HERRMANN@sakilacustomer.org","02/14/2006"
"Ecuador","Portoviejo","PATSY DAVIDSON","PATSY.DAVIDSON@sakilacustomer.org","02/14/2006"
"Egypt","Mit Ghamr","RICK MATTOX","RICK.MATTOX@sakilacustomer.org","02/14/2006"
"Egypt","Bilbays","EVERETT BANDA","EVERETT.BANDA@sakilacustomer.org","02/14/2006"
"Egypt","Idfu","LILLIE KIM","LILLIE.KIM@sakilacustomer.org","02/14/2006"
"Egypt","Qalyub","EMMA BOYD","EMMA.BOYD@sakilacustomer.org","02/14/2006"
"Egypt","Shubra al-Khayma","SHERRY MARSHALL","SHERRY.MARSHALL@sakilacustomer.org","02/14/2006"
"Egypt","Sawhaj","ALFRED CASILLAS","ALFRED.CASILLAS@sakilacustomer.org","02/14/2006"
"Estonia","Tartu","MARCUS HIDALGO","MARCUS.HIDALGO@sakilacustomer.org","02/14/2006"
"Ethiopia","Addis Abeba","SEAN DOUGLASS","SEAN.DOUGLASS@sakilacustomer.org","02/14/2006"
"Faroe Islands","Tórshavn","EDWARD BAUGH","EDWARD.BAUGH@sakilacustomer.org","02/14/2006"
"Finland","Oulu","ERIKA PENA","ERIKA.PENA@sakilacustomer.org","02/14/2006"
"France","Brest","LUIS YANEZ","LUIS.YANEZ@sakilacustomer.org","02/14/2006"
"France","Toulon","RITA GRAHAM","RITA.GRAHAM@sakilacustomer.org","02/14/2006"
"France","Le Mans","LAUREN HUDSON","LAUREN.HUDSON@sakilacustomer.org","02/14/2006"
"France","Toulouse","VIRGINIA GREEN","VIRGINIA.GREEN@sakilacustomer.org","02/14/2006"
"French Guiana","Cayenne","ROSE HOWARD","ROSE.HOWARD@sakilacustomer.org","02/14/2006"
"French Polynesia","Papeete","GLORIA COOK","GLORIA.COOK@sakilacustomer.org","02/14/2006"
"French Polynesia","Faaa","CHRISTINE ROBERTS","CHRISTINE.ROBERTS@sakilacustomer.org","02/14/2006"
"Gambia","Banjul","SALVADOR TEEL","SALVADOR.TEEL@sakilacustomer.org","02/14/2006"
"Germany","Saarbrücken","COLLEEN BURTON","COLLEEN.BURTON@sakilacustomer.org","02/14/2006"
"Germany","Siegen","VANESSA SIMS","VANESSA.SIMS@sakilacustomer.org","02/14/2006"
"Germany","Witten","VICKI FIELDS","VICKI.FIELDS@sakilacustomer.org","02/14/2006"
"Germany","Halle/Saale","VICKIE BREWER","VICKIE.BREWER@sakilacustomer.org","02/14/2006"
"Germany","Erlangen","MIGUEL BETANCOURT","MIGUEL.BETANCOURT@sakilacustomer.org","02/14/2006"
"Germany","Duisburg","GRACE ELLIS","GRACE.ELLIS@sakilacustomer.org","02/14/2006"
"Germany","Mannheim","ALMA AUSTIN","ALMA.AUSTIN@sakilacustomer.org","02/14/2006"
"Greece","Athenai","LINDA WILLIAMS","LINDA.WILLIAMS@sakilacustomer.org","02/14/2006"
"Greece","Patras","ENRIQUE FORSYTHE","ENRIQUE.FORSYTHE@sakilacustomer.org","02/14/2006"
"Greenland","Nuuk","GERTRUDE CASTILLO","GERTRUDE.CASTILLO@sakilacustomer.org","02/14/2006"
"Holy See (Vatican City State)","Città del Vaticano","JESSICA HALL","JESSICA.HALL@sakilacustomer.org","02/14/2006"
"Hong Kong","Kowloon and New Kowloon","VIOLET RODRIQUEZ","VIOLET.RODRIQUEZ@sakilacustomer.org","02/14/2006"
"India","Rae Bareli","LORI WOOD","LORI.WOOD@sakilacustomer.org","02/14/2006"
"India","Balurghat","LUCY WHEELER","LUCY.WHEELER@sakilacustomer.org","02/14/2006"
"India","Bhilwara","TONYA CHAPMAN","TONYA.CHAPMAN@sakilacustomer.org","02/14/2006"
"India","Sambhal","AGNES BISHOP","AGNES.BISHOP@sakilacustomer.org","02/14/2006"
"India","Ambattur","ARLENE HARVEY","ARLENE.HARVEY@sakilacustomer.org","02/14/2006"
"India","Uttarpara-Kotrung","GEORGIA JACOBS","GEORGIA.JACOBS@sakilacustomer.org","02/14/2006"
"India","Shimoga","NELLIE GARRETT","NELLIE.GARRETT@sakilacustomer.org","02/14/2006"
"India","Halisahar","LENA JENSEN","LENA.JENSEN@sakilacustomer.org","02/14/2006"
"India","Palghat (Palakkad)","NINA SOTO","NINA.SOTO@sakilacustomer.org","02/14/2006"
"India","Karnal","NAOMI JENNINGS","NAOMI.JENNINGS@sakilacustomer.org","02/14/2006"
"India","Yamuna Nagar","NANCY THOMAS","NANCY.THOMAS@sakilacustomer.org","02/14/2006"
"India","Tambaram","BECKY MILES","BECKY.MILES@sakilacustomer.org","02/14/2006"
"India","Pathankot","PAULA BRYANT","PAULA.BRYANT@sakilacustomer.org","02/14/2006"
"India","Bhopal","HELEN HARRIS","HELEN.HARRIS@sakilacustomer.org","02/14/2006"
"India","Patiala","RAMONA HALE","RAMONA.HALE@sakilacustomer.org","02/14/2006"
"India","Ahmadnagar","SHERRI RHODES","SHERRI.RHODES@sakilacustomer.org","02/14/2006"
"India","Jodhpur","PEARL GARZA","PEARL.GARZA@sakilacustomer.org","02/14/2006"
"India","Parbhani","JOHN FARNSWORTH","JOHN.FARNSWORTH@sakilacustomer.org","02/14/2006"
"India","Miraj","STEVEN CURLEY","STEVEN.CURLEY@sakilacustomer.org","02/14/2006"
"India","Rampur","JOSHUA MARK","JOSHUA.MARK@sakilacustomer.org","02/14/2006"
"India","Satna","GERALD FULTZ","GERALD.FULTZ@sakilacustomer.org","02/14/2006"
"India","Ranchi","SAMUEL MARLOW","SAMUEL.MARLOW@sakilacustomer.org","02/14/2006"
"India","Munger (Monghyr)","CYNTHIA YOUNG","CYNTHIA.YOUNG@sakilacustomer.org","02/14/2006"
"India","Adoni","ADAM GOOCH","ADAM.GOOCH@sakilacustomer.org","02/14/2006"
"India","Gulbarga","WAYNE TRUONG","WAYNE.TRUONG@sakilacustomer.org","02/14/2006"
"India","Kamarhati","BRENDA WRIGHT","BRENDA.WRIGHT@sakilacustomer.org","02/14/2006"
"India","Jhansi","AMY LOPEZ","AMY.LOPEZ@sakilacustomer.org","02/14/2006"
"India","Bhavnagar","CARLOS COUGHLIN","CARLOS.COUGHLIN@sakilacustomer.org","02/14/2006"
"India","Valparai","MIKE WAY","MIKE.WAY@sakilacustomer.org","02/14/2006"
"India","Hoshiarpur","ALLEN BUTTERFIELD","ALLEN.BUTTERFIELD@sakilacustomer.org","02/14/2006"
"India","Berhampore (Baharampur)","MARVIN YEE","MARVIN.YEE@sakilacustomer.org","02/14/2006"
"India","Katihar","CHAD CARBONE","CHAD.CARBONE@sakilacustomer.org","02/14/2006"
"India","Pudukkottai","LEE HAWKS","LEE.HAWKS@sakilacustomer.org","02/14/2006"
"India","Purnea (Purnia)","BRADLEY MOTLEY","BRADLEY.MOTLEY@sakilacustomer.org","02/14/2006"
"India","Gandhinagar","EDITH MCDONALD","EDITH.MCDONALD@sakilacustomer.org","02/14/2006"
"India","Dhule (Dhulia)","BERNARD COLBY","BERNARD.COLBY@sakilacustomer.org","02/14/2006"
"India","Etawah","JOSEPHINE GOMEZ","JOSEPHINE.GOMEZ@sakilacustomer.org","02/14/2006"
"India","Bijapur","TIM CARY","TIM.CARY@sakilacustomer.org","02/14/2006"
"India","Varanasi (Benares)","SHANNON FREEMAN","SHANNON.FREEMAN@sakilacustomer.org","02/14/2006"
"India","Kanchrapara","LESTER KRAUS","LESTER.KRAUS@sakilacustomer.org","02/14/2006"
"India","Siliguri (Shiliguri)","BRETT CORNWELL","BRETT.CORNWELL@sakilacustomer.org","02/14/2006"
"India","Vijayawada","MILTON HOWLAND","MILTON.HOWLAND@sakilacustomer.org","02/14/2006"
"India","Chapra","RAUL FORTIER","RAUL.FORTIER@sakilacustomer.org","02/14/2006"
"India","Bhimavaram","ERIK GUILLEN","ERIK.GUILLEN@sakilacustomer.org","02/14/2006"
"India","Rajkot","DWAYNE OLVERA","DWAYNE.OLVERA@sakilacustomer.org","02/14/2006"
"India","Mysore","CHERYL MURPHY","CHERYL.MURPHY@sakilacustomer.org","02/14/2006"
"India","Jaipur","MILDRED BAILEY","MILDRED.BAILEY@sakilacustomer.org","02/14/2006"
"India","Pune","JUANITA MASON","JUANITA.MASON@sakilacustomer.org","02/14/2006"
"India","Hubli-Dharwad","ANITA MORALES","ANITA.MORALES@sakilacustomer.org","02/14/2006"
"India","Nagaon","ALICIA MILLS","ALICIA.MILLS@sakilacustomer.org","02/14/2006"
"India","Chandrapur","SALLY PIERCE","SALLY.PIERCE@sakilacustomer.org","02/14/2006"
"India","Shivapuri","NICOLE PETERSON","NICOLE.PETERSON@sakilacustomer.org","02/14/2006"
"India","Udaipur","BEATRICE ARNOLD","BEATRICE.ARNOLD@sakilacustomer.org","02/14/2006"
"India","Allappuzha (Alleppey)","ANNETTE OLSON","ANNETTE.OLSON@sakilacustomer.org","02/14/2006"
"India","Haldia","HOLLY FOX","HOLLY.FOX@sakilacustomer.org","02/14/2006"
"India","Firozabad","LAURIE LAWRENCE","LAURIE.LAWRENCE@sakilacustomer.org","02/14/2006"
"India","Bhusawal","CARLA GUTIERREZ","CARLA.GUTIERREZ@sakilacustomer.org","02/14/2006"
"Indonesia","Madiun","REGINALD KINDER","REGINALD.KINDER@sakilacustomer.org","02/14/2006"
"Indonesia","Gorontalo","TARA RYAN","TARA.RYAN@sakilacustomer.org","02/14/2006"
"Indonesia","Purwakarta","JARED ELY","JARED.ELY@sakilacustomer.org","02/14/2006"
"Indonesia","Cianjur","NORMAN CURRIER","NORMAN.CURRIER@sakilacustomer.org","02/14/2006"
"Indonesia","Pontianak","LESLIE SEWARD","LESLIE.SEWARD@sakilacustomer.org","02/14/2006"
"Indonesia","Surakarta","JAY ROBB","JAY.ROBB@sakilacustomer.org","02/14/2006"
"Indonesia","Ciomas","MINNIE ROMERO","MINNIE.ROMERO@sakilacustomer.org","02/14/2006"
"Indonesia","Jakarta","SUZANNE NICHOLS","SUZANNE.NICHOLS@sakilacustomer.org","02/14/2006"
"Indonesia","Pangkal Pinang","LONNIE TIRADO","LONNIE.TIRADO@sakilacustomer.org","02/14/2006"
"Indonesia","Tegal","LLOYD DOWD","LLOYD.DOWD@sakilacustomer.org","02/14/2006"
"Indonesia","Ciparay","JEFFREY SPEAR","JEFFREY.SPEAR@sakilacustomer.org","02/14/2006"
"Indonesia","Lhokseumawe","JORGE OLIVARES","JORGE.OLIVARES@sakilacustomer.org","02/14/2006"
"Indonesia","Probolinggo","STEVE MACKENZIE","STEVE.MACKENZIE@sakilacustomer.org","02/14/2006"
"Indonesia","Pemalang","VICTORIA GIBSON","VICTORIA.GIBSON@sakilacustomer.org","02/14/2006"
"Iran","Esfahan","DOROTHY TAYLOR","DOROTHY.TAYLOR@sakilacustomer.org","02/14/2006"
"Iran","Qomsheh","TOMMY COLLAZO","TOMMY.COLLAZO@sakilacustomer.org","02/14/2006"
"Iran","Arak","KATHLEEN ADAMS","KATHLEEN.ADAMS@sakilacustomer.org","02/14/2006"
"Iran","Tabriz","DIANNE SHELTON","DIANNE.SHELTON@sakilacustomer.org","02/14/2006"
"Iran","Kermanshah","HOWARD FORTNER","HOWARD.FORTNER@sakilacustomer.org","02/14/2006"
"Iran","Sirjan","OSCAR AQUINO","OSCAR.AQUINO@sakilacustomer.org","02/14/2006"
"Iran","Shahr-e Kord","ROBERTA HARPER","ROBERTA.HARPER@sakilacustomer.org","02/14/2006"
"Iraq","Mosul","DARYL LARUE","DARYL.LARUE@sakilacustomer.org","02/14/2006"
"Israel","Tel Aviv-Jaffa","GERALDINE PERKINS","GERALDINE.PERKINS@sakilacustomer.org","02/14/2006"
"Israel","Ashqelon","LEWIS LYMAN","LEWIS.LYMAN@sakilacustomer.org","02/14/2006"
"Israel","Ashdod","CRYSTAL FORD","CRYSTAL.FORD@sakilacustomer.org","02/14/2006"
"Italy","Udine","ADRIAN CLARY","ADRIAN.CLARY@sakilacustomer.org","02/14/2006"
"Italy","Alessandria","ANNA HILL","ANNA.HILL@sakilacustomer.org","02/14/2006"
"Italy","Livorno","DARREN WINDHAM","DARREN.WINDHAM@sakilacustomer.org","02/14/2006"
"Italy","Brescia","CHRISTOPHER GRECO","CHRISTOPHER.GRECO@sakilacustomer.org","02/14/2006"
"Italy","Brindisi","MARC OUTLAW","MARC.OUTLAW@sakilacustomer.org","02/14/2006"
"Italy","Syrakusa","BESSIE MORRISON","BESSIE.MORRISON@sakilacustomer.org","02/14/2006"
"Italy","Bergamo","ALEXANDER FENNELL","ALEXANDER.FENNELL@sakilacustomer.org","02/14/2006"
"Japan","Tsuyama","FREDERICK ISBELL","FREDERICK.ISBELL@sakilacustomer.org","02/14/2006"
"Japan","Izumisano","CLARENCE GAMEZ","CLARENCE.GAMEZ@sakilacustomer.org","02/14/2006"
"Japan","Sasebo","MARY SMITH","MARY.SMITH@sakilacustomer.org","02/14/2006"
"Japan","Nagareyama","HEATHER MORRIS","HEATHER.MORRIS@sakilacustomer.org","02/14/2006"
